"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"
36,"1","2026-02-14T13:05:56.837750Z",36,4.602,"The acting is fine, but the story arc is a bit formulaic. It was a decent way to kill an afternoon.","Neutral","2026-02-14T13:05:56.837771Z"
37,"1","2026-02-14T13:06:00.939305Z",37,3.843,"It perfectly balances humor and drama. This movie is a triumph in every sense.","Positive","2026-02-14T13:06:00.939317Z"
38,"1","2026-02-14T13:06:04.026606Z",38,2.91,"A frustrating experience. Avoid this at all costs.","Negative","2026-02-14T13:06:04.026622Z"
39,"1","2026-02-14T13:06:12.780836Z",39,8.55,"A strange experience overall. While the editing shines, the rest is uninspired. It’s definitely not for everyone.","Neutral","2026-02-14T13:06:12.780854Z"
40,"1","2026-02-14T13:06:18.709247Z",40,5.729,"Every scene felt earned, and the opening scene was heartwarming. A cinematic masterpiece.","Positive","2026-02-14T13:06:18.709261Z"
41,"1","2026-02-14T13:06:23.132601Z",41,4.26,"Visually it's fine, but the editing is just adequate. It was a decent way to kill an afternoon.","Neutral","2026-02-14T13:06:23.132619Z"
42,"1","2026-02-14T13:06:31.236058Z",42,7.867,"Wow, just wow. I particularly loved how the pacing was handled. A must-watch for fans of the genre.","Positive","2026-02-14T13:06:31.236076Z"
43,"1","2026-02-14T13:06:39.021430Z",43,7.557,"The CGI was okay, but forgettable. I walked in with low expectations and they were met.","Neutral","2026-02-14T13:06:39.021444Z"
44,"1","2026-02-14T13:06:46.143909Z",44,6.922,"Great concept, but the execution was clichéd. Ideally, this should have been great, but something was off.","Neutral","2026-02-14T13:06:46.143927Z"
45,"1","2026-02-14T13:06:55.258578Z",45,8.903,"I am confused about how I feel. A polarizing experience for sure.","Neutral","2026-02-14T13:06:55.258592Z"
46,"1","2026-02-14T13:07:47.188310Z",46,51.663,"I tried to like it, I really did, but it failed. The cinematography distracted me from everything else. A complete misfire.","Negative","2026-02-14T13:07:47.188329Z"
47,"1","2026-02-14T13:07:56.008301Z",47,8.548,"It was... fine. It has some good moments, especially the costume design. It’s okay if you have nothing else to do.","Neutral","2026-02-14T13:07:56.008318Z"
48,"1","2026-02-14T13:07:59.142511Z",48,2.952,"This movie is a triumph in every sense. The visual effects were refreshing and added so much depth. A definitive 10/10.","Positive","2026-02-14T13:07:59.142533Z"
49,"1","2026-02-14T13:08:08.630456Z",49,9.272,"It felt like a rough draft that was never edited. I struggled to sit through the first half.","Negative","2026-02-14T13:08:08.630468Z"
50,"1","2026-02-14T13:08:15.876889Z",50,7.018,"Great concept, but the execution was jarring. I oscillated between loving and hating this film.","Neutral","2026-02-14T13:08:15.876904Z"
51,"1","2026-02-14T13:08:22.256660Z",51,6.171,"An absolute joy to watch from start to finish. Two thumbs way up.","Positive","2026-02-14T13:08:22.256674Z"
52,"1","2026-02-14T13:08:30.879091Z",52,8.432,"I'm honestly still trying to process what I just saw. The first half was heartwarming, but the ending was unbearable. Your mileage may vary significantly.","Neutral","2026-02-14T13:08:30.879105Z"
53,"1","2026-02-14T13:08:37.109087Z",53,6.049,"I tried to like it, I really did, but it failed. I couldn't get past the nonsensical soundtrack. I walked out halfway through.","Negative","2026-02-14T13:08:37.109107Z"
54,"1","2026-02-14T13:08:41.949424Z",54,4.609,"Ideally, this should have been great, but something was off. It’s definitely not for everyone.","Neutral","2026-02-14T13:08:41.949445Z"
55,"1","2026-02-14T13:08:46.500031Z",55,4.313,"Finally, a movie that respects the audience. Two thumbs way up.","Positive","2026-02-14T13:08:46.500057Z"
56,"1","2026-02-14T13:08:49.915663Z",56,3.165,"I oscillated between loving and hating this film. It’s definitely not for everyone.","Neutral","2026-02-14T13:08:49.915678Z"
57,"1","2026-02-14T13:08:54.071678Z",57,3.896,"I was completely blown away by this film. Don't miss this one.","Positive","2026-02-14T13:08:54.071704Z"
58,"1","2026-02-14T13:08:59.210856Z",58,4.922,"Finally, a movie that respects the audience. The lead actor delivered a flawless performance. It deserves all the awards it's getting.","Positive","2026-02-14T13:08:59.210875Z"
59,"1","2026-02-14T13:09:02.023823Z",59,2.562,"Total garbage. A complete misfire.","Negative","2026-02-14T13:09:02.023836Z"
60,"1","2026-02-14T13:09:07.786497Z",60,5.506,"An absolute train wreck of a movie. I couldn't get past the tedious score. Zero stars if I could give it.","Negative","2026-02-14T13:09:07.786531Z"
61,"1","2026-02-14T13:10:25.246743Z",61,77.057,"Standard fare for this type of movie. Wait for it to come out on streaming.","Neutral","2026-02-14T13:10:25.246758Z"
62,"1","2026-02-14T13:10:29.111033Z",62,3.534,"I have never been so bored in my life. Do not bother.","Negative","2026-02-14T13:10:29.111046Z"
63,"1","2026-02-14T13:10:34.231616Z",63,4.93,"The acting was touching, yet the dialogue felt nonsensical. I oscillated between loving and hating this film.","Neutral","2026-02-14T13:10:34.231630Z"
64,"1","2026-02-14T13:10:42.209524Z",64,7.756,"It doesn't leave a lasting impression. It serves its purpose as popcorn filler.","Neutral","2026-02-14T13:10:42.209540Z"
65,"1","2026-02-14T13:10:46.779476Z",65,4.312,"It serves its purpose as popcorn filler. If you're bored, give it a shot.","Neutral","2026-02-14T13:10:46.779488Z"
66,"1","2026-02-14T13:10:51.537226Z",66,4.565,"Standard fare for this type of movie. It doesn't leave a lasting impression. 6/10 at best.","Neutral","2026-02-14T13:10:51.537239Z"
67,"1","2026-02-14T13:11:02.466104Z",67,10.719,"I walked in with low expectations and they were met. While the story arc was good, the rest felt so-so. Acceptable, but forgettable.","Neutral","2026-02-14T13:11:02.466121Z"
68,"1","2026-02-14T13:11:08.754379Z",68,6.027,"It was... fine. It follows the standard formula without taking risks. If you're bored, give it a shot.","Neutral","2026-02-14T13:11:08.754401Z"
69,"1","2026-02-14T13:11:14.329368Z",69,5.307,"It managed to be flawless without trying too hard. Finally, a movie that respects the audience.","Positive","2026-02-14T13:11:14.329385Z"
70,"1","2026-02-14T13:11:18.278602Z",70,3.744,"The soundtrack was frankly disjointed. Total garbage.","Negative","2026-02-14T13:11:18.278620Z"
71,"1","2026-02-14T13:11:22.439055Z",71,3.943,"Great concept, but the execution was clichéd. I'm honestly still trying to process what I just saw.","Neutral","2026-02-14T13:11:22.439073Z"
72,"1","2026-02-14T13:11:28.850264Z",72,6.191,"The direction was frankly uninspired. I want my two hours back.","Negative","2026-02-14T13:11:28.850285Z"
73,"1","2026-02-14T13:11:33.579402Z",73,4.536,"It has some good moments, especially the direction. I have mixed feelings about this one.","Neutral","2026-02-14T13:11:33.579419Z"
74,"1","2026-02-14T13:11:40.182503Z",74,6.376,"It perfectly balances humor and drama. I was completely blown away by this film.","Positive","2026-02-14T13:11:40.182514Z"
75,"1","2026-02-14T13:11:47.717940Z",75,7.282,"I'm honestly still trying to process what I just saw. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-14T13:11:47.717958Z"
76,"1","2026-02-14T13:11:52.391628Z",76,4.48,"A cinematic masterpiece. The visual effects were superb and added so much depth. Do yourself a favor and go see this.","Positive","2026-02-14T13:11:52.391643Z"
77,"1","2026-02-14T13:11:56.144274Z",77,3.564,"I didn't expect to enjoy this as much as I did. Highly recommended for everyone.","Positive","2026-02-14T13:11:56.144294Z"
78,"1","2026-02-14T13:12:00.810282Z",78,4.215,"Standard fare for this type of movie. Good for a one-time watch.","Neutral","2026-02-14T13:12:00.810294Z"
79,"1","2026-02-14T13:12:08.206336Z",79,7.183,"The plot holes were glaring and the direction was lifeless. What a complete waste of potential.","Negative","2026-02-14T13:12:08.206352Z"
80,"1","2026-02-14T13:12:12.469539Z",80,4.068,"A strange experience overall. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-14T13:12:12.469553Z"
81,"1","2026-02-14T13:12:18.422689Z",81,5.753,"A strange experience overall. A polarizing experience for sure.","Neutral","2026-02-14T13:12:18.422702Z"
82,"1","2026-02-14T13:12:31.949312Z",82,13.237,"I am confused about how I feel. It tries to be deep, but comes off as clichéd despite the refreshing music. I think I need to watch it again to decide.","Neutral","2026-02-14T13:12:31.949328Z"
83,"1","2026-02-14T13:12:35.712155Z",83,3.541,"I have mixed feelings about this one. 6/10 at best.","Neutral","2026-02-14T13:12:35.712169Z"
84,"1","2026-02-14T13:12:39.095025Z",84,3.188,"I struggled to sit through the first half. A complete misfire.","Negative","2026-02-14T13:12:39.095049Z"
85,"1","2026-02-14T13:12:45.231551Z",85,5.915,"An absolute joy to watch from start to finish. Highly recommended for everyone.","Positive","2026-02-14T13:12:45.231583Z"
86,"1","2026-02-14T13:12:50.697043Z",86,5.262,"A frustrating experience. Zero stars if I could give it.","Negative","2026-02-14T13:12:50.697055Z"
87,"1","2026-02-14T13:12:59.330522Z",87,8.381,"An absolute train wreck of a movie. Nothing about the opening scene worked. I wouldn't recommend this to my worst enemy.","Negative","2026-02-14T13:12:59.330542Z"
88,"1","2026-02-14T13:13:06.557513Z",88,6.987,"It was... fine. It has some good moments, especially the character development. It is what it is.","Neutral","2026-02-14T13:13:06.557535Z"
89,"1","2026-02-14T13:13:11.478740Z",89,4.661,"An absolute train wreck of a movie. The dialogue distracted me from everything else. Zero stars if I could give it.","Negative","2026-02-14T13:13:11.478757Z"
90,"1","2026-02-14T13:13:15.960481Z",90,4.268,"This movie is a triumph in every sense. The lead actor delivered a memorable performance. Don't miss this one.","Positive","2026-02-14T13:13:15.960494Z"
91,"1","2026-02-14T13:13:26.111945Z",91,9.925,"The screenplay was okay, but forgettable. It was... fine.","Neutral","2026-02-14T13:13:26.111963Z"
92,"1","2026-02-14T13:13:31.449390Z",92,5.101,"A cinematic masterpiece. The lead actor delivered a gripping performance. I will be thinking about this for days.","Positive","2026-02-14T13:13:31.449405Z"
93,"1","2026-02-14T13:13:38.301554Z",93,6.596,"I was hooked from the very first minute. It managed to be vibrant without trying too hard. I can't wait to see it again.","Positive","2026-02-14T13:13:38.301575Z"
94,"1","2026-02-14T13:13:42.471046Z",94,3.942,"It doesn't leave a lasting impression. Middle of the road entertainment.","Neutral","2026-02-14T13:13:42.471060Z"
95,"1","2026-02-14T13:13:48.695344Z",95,5.975,"It’s a weird mix of brilliance and stupidity. It tries to be deep, but comes off as jarring despite the iconic music. It’s definitely not for everyone.","Neutral","2026-02-14T13:13:48.695357Z"
96,"1","2026-02-14T13:13:53.613890Z",96,4.74,"While the lighting shines, the rest is convoluted. I am confused about how I feel.","Neutral","2026-02-14T13:13:53.613902Z"
97,"1","2026-02-14T13:13:59.936484Z",97,6.081,"It’s a weird mix of brilliance and stupidity. While the screenplay shines, the rest is tedious. A polarizing experience for sure.","Neutral","2026-02-14T13:13:59.936497Z"
98,"1","2026-02-14T13:14:05.201906Z",98,5.018,"The acting is fine, but the costume design is a bit middle-of-the-road. It’s not a masterpiece, but it’s not a disaster either.","Neutral","2026-02-14T13:14:05.201919Z"
99,"1","2026-02-14T13:14:20.298126Z",99,14.829,"It’s a weird mix of brilliance and stupidity. While the screenplay shines, the rest is forgetable. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-14T13:14:20.298138Z"
100,"1","2026-02-14T13:14:31.149174Z",100,10.631,"I was hooked from the very first minute. I can't wait to see it again.","Positive","2026-02-14T13:14:31.149192Z"
